,Position 0.0 mm,Position 1.0 mm,Position 2.0 mm,Position 3.0 mm,Position 4.0 mm,Position 5.0 mm,Position 6.0 mm,Position 7.0 mm,Position 8.0 mm,Position 9.0 mm,Position 10.0 mm,Position 11.0 mm,Position 12.0 mm,Position 13.0 mm,Position 14.0 mm,Position 15.0 mm,Position 16.0 mm,Position 17.0 mm,Position 18.0 mm,Position 19.0 mm,Position 20.0 mm,Position 21.0 mm,Position 22.0 mm,Position 23.0 mm,Position 24.0 mm,Position 25.0 mm,Position 26.0 mm
480,1000.00,948.99,898.17,847.71,797.80,748.61,700.29,652.98,606.83,561.93,518.38,476.26,435.60,396.45,358.82,322.67,287.99,254.70,222.74,192.01,162.39,133.75,105.96,78.85,52.27,26.05,0.00
481,1000.00,949.04,898.26,847.85,797.98,748.83,700.54,653.27,607.14,562.27,518.74,476.62,435.98,396.83,359.19,323.04,288.34,255.03,223.05,192.28,162.63,133.96,106.13,78.98,52.36,26.09,0.00
482,1000.00,949.08,898.35,847.98,798.16,749.04,700.80,653.56,607.46,562.60,519.09,476.99,436.35,397.21,359.56,323.40,288.68,255.36,223.35,192.56,162.88,134.17,106.30,79.12,52.45,26.14,0.00
483,1000.00,949.13,898.44,848.12,798.34,749.26,701.05,653.84,607.77,562.94,519.44,477.36,436.73,397.58,359.93,323.76,289.03,255.69,223.66,192.84,163.12,134.38,106.47,79.25,52.54,26.18,0.00
484,1000.00,949.17,898.53,848.25,798.51,749.48,701.30,654.12,608.08,563.27,519.80,477.72,437.10,397.96,360.30,324.12,289.38,256.02,223.96,193.11,163.37,134.59,106.64,79.38,52.63,26.23,0.00
485,1000.00,949.22,898.62,848.39,798.69,749.69,701.55,654.41,608.39,563.60,520.15,478.08,437.47,398.33,360.67,324.48,289.72,256.34,224.26,193.39,163.61,134.80,106.81,79.50,52.71,26.27,0.00
486,1000.00,949.27,898.71,848.52,798.86,749.91,701.80,654.69,608.70,563.94,520.50,478.45,437.84,398.70,361.04,324.84,290.07,256.67,224.56,193.66,163.85,135.00,106.98,79.63,52.80,26.31,0.00
487,1000.00,949.31,898.80,848.66,799.04,750.12,702.05,654.97,609.00,564.27,520.84,478.81,438.20,399.07,361.40,325.20,290.41,256.99,224.86,193.93,164.09,135.21,107.15,79.76,52.89,26.36,0.00
488,1000.00,949.36,898.89,848.79,799.21,750.33,702.30,655.25,609.31,564.59,521.19,479.16,438.57,399.44,361.77,325.55,290.75,257.32,225.16,194.21,164.33,135.42,107.32,79.89,52.97,26.40,0.00
489,1000.00,949.40,898.98,848.92,799.39,750.54,702.54,655.53,609.62,564.92,521.53,479.52,438.94,399.80,362.13,325.91,291.09,257.64,225.46,194.48,164.57,135.62,107.49,80.02,53.06,26.44,0.00
490,1000.00,949.45,899.07,849.05,799.56,750.75,702.79,655.80,609.92,565.25,521.88,479.88,439.30,400.17,362.49,326.26,291.43,257.96,225.76,194.75,164.81,135.82,107.65,80.15,53.14,26.49,0.00
